english,bangla,chittagonian
"Time passes buzzing by, who knows from where.",সময় কোথায় থেকে ভন ভন করে,সমত হডে তুন ভন ভন গরে
He placed half a kilo of honey wrapped in a leaf into the woodcutter's hand and said.,সে কাঠুরিয়ার হাতে পাতা আধা কেজি মধু তুলে দিয়ে বলল,ইতে কাঠুরিয়ার আঁতত পাতা আধা কেজি মধু তুলি দি হইলো
"Here, take this, it's your reward.",এই নাও তোমার পুরস্কার এটি,এই ল তোঁয়ার পুরস্কার ইবে
"If you plant trees like this every day, the forest will survive.",প্রতিদিন এমন করে তুই গাছ লাগালে বন বেঁচে,ফত্তিন এন গরে তুঁই গাছ লাগাইলে বন বাঁচি
We too will keep you alive with honey.,আমরাও মধু দিয়ে তোমাকে বেঁচে,অ্যাঁরাও মধু দি তোঁয়ারে বাঁচি
And this green forest will save us.,আর এই সবুজ বন বাঁচাবে আমাদেরকে,আর এই সবুজ বন বাঁচাইবে অ্যাঁরারে
"Seeing the honey, the woodcutter began to boil over with joy.",মধু দেখে কাঠুরিয়া খুশিতে টগবগ করতে লাগে,মধু চ্যাঁই কাঠুরিয়া খুশিত টগবগ গরিতে লার
"Every day, instead of an axe, the woodcutter would go to the forest carrying saplings.",কাঠুরিয়া প্রতিদিন কুঠারের বদলে চারাগাছ নিয়ে বনে যেত,কাঠুরিয়া ফত্তিন কুঠারর বদল চারাগাছ লইয়্যে বনত যাইত্যু
"And on the way back, precious honey.",আর যাবার সময় মূল্যবান মধু,আর যায়বের সমত মূল্যবান মধু
"By selling this honey at the shop, his household ran.",এ মধু দোকানে দিয়ে তার সংসার চলল,এ মধু দোকানত দি ইতার সংসার চলিলো
"The forest's trees, birds and bees became the woodcutter's friends.",বনের গাছপালা পাখি আর মৌমাছি কাঠুরিয়ার বন্ধু হয়ে গেছে,বনর গাছপালা ফাখি আর মধুপুক কাঠুরিয়ার বন্ধু অই গেইয়্যে
The bee in the story teaches us a lesson.,গল্পের মৌমাছি আমাদেরকে শিক্ষা দেয়,গফের মধুপুক অ্যাঁরারে শিক্ষা দে
We need to stop cutting down trees.,গাছ কাডা বন্ধ করা দরকার,গাছ কাটা বন্ধ গরা দরহার
We need a lot of awareness.,আমাদের সচেতনতা খুব বেশি দরকার,অ্যাঁরার সচেতনতা বহুত বেশি দরহার
"And once this happens, we will increase our wealth.",আর এটি হলেই আমাদের সম্পদ বাড়াবো,আর ইবে অইলেই অ্যাঁরার সম্পদ বাড়াইয়্যুম
"This way, the environment will also become beautiful.",এমন করে পরিবেশও সুন্দর হবে,এন গরে পরিবেশও সুন্দর অইব্যু
One day a king became very ill.,একটা রাজার খুব অসুখ হল একদিন,উজ্ঞো রাজার বহুত অসুখ অইল একদিন
"Amulets, charms, sorcerers, healers, doctors, herbalists - everything was tried.",তাবিজ কবচ ওঝা বৈদ্য ডাক্তার কবিরাজ সব করা শেষ,তাবিজ কবচ ওঝা বৈদ্য ডাক্তার কবিরাজ হক্কল গরা শেষ
The king sits quietly all day.,সারাদিন চুপ করে বসে থাকে রাজা,গুডাদিন চুপ গরে বৈ থাহে রাজা
Time doesn't pass for the childless king.,সময় কাটে না নিঃসন্তান রাজার,সমত ন কাডে নিঃসন্তান রাজার
One day the chief guard came and told the king.,একদিন কোতোয়াল এসে রাজাকে বলল,একদিন কোতোয়াল আই রাজারে হইলো
The signs don't look good to me.,লক্ষণ তো ভাল লাগে না আমার কাছে,লক্ষণ তো গম ন লার অ্যাঁর হাছে
"Leaving treatments aside, we must devote our minds to worship for the Creator's satisfaction.",চিকিৎসা টিকিৎসা রাহি সৃষ্টিকর্তার সন্তুষ্টির জন্য মন দিয়ে ইবাদত বন্দেগীতে মন দিতে হবে,চিকিৎসা টিকিৎসা রেখে সৃষ্টিকর্তার সন্তুষ্টির লাই মন দি ইবাদত বন্দেগীত মন দন অইব্যু
The minister has come to the king's chamber today.,মন্ত্রী এসেছে রাজার ঘরে আজকে,মন্ত্রী আইসসে রাজার ঘরত আজিয়ে
"Bowing, he spoke with a twisted, smug expression.",প্রণাম করে ঠোঁট বাঁকিয়ে বলল,প্রণাম গরে ঠোঁট বাকাইয়ে হইলো
"Hearing about your illness, the kingdom itself has fallen ill.",আপনার অসুস্থতার কথা শুনে রাজ্য অসুস্ত হয়ে গেছে,অনের অসুস্ততার হথা শুনি রাজ্য অসুস্থ অই গেইয়্যে
Now who will rule this kingdom?,এখন রাজ্য এটি শাসন করবে কে,এহন রাজ্য ইবে শাসন গরিবে কেডা
How much longer will it go on like this?,এমন করে আর কত দিন চলবে,এন গরে আর হতো দিন চলিবু
"Without bowing to the king, he said.",সে রাজাকে প্রণাম না করে বলল,ইতে রাজারে প্রণাম ন গরে হইলো
"King, if you keep lying there exhausted from illness with a sullen face.",রাজা আপনি যদি যদি অসুখ ক্লান্ত হয়ে মুখ বেজার করে পড়ি থাকলে,রাজা অনে যদি অসুখ ক্লান্ত অই মুক বেজার গরে ফরি থায়লি
Then how will the kingdom be run?,তাহলে রাজ্য চলবে কেমন করে,তঁইলে রাজ্য চলিবু ক্যান গরে
I don't see any sign that you are getting better.,আপনি সুস্থ এমন কোন লক্ষণ দেখি না,অনে সুস্থ এন হোন লক্ষণ ন চ্যাঁই
Day by day the subjects' hearts are breaking.,দিন দিন প্রজার মন ভেঙ্গে যাচ্ছে,দিন দিন প্রজার মন ভাঙি যার
Chaos could break out at any moment.,যে কোন সময় বিশৃঙ্খলা শুরু হতে পারে,যে হোন সমত বিশৃঙ্খলা শুরু অইত ফারে
It will become hard to control everyone.,সবাইকে সামাল দেওয়া কঠিন হয়ে যাবে,অক্কলরে সামাল দিবে কোদিন অই যাইব্যু
You are a dead king even while still alive.,আপনি তো জীবিত থাকতে ও মৃত রাজা,অনে তো জীবিত থাইতে ও মৃত রাজা
"For the subjects' sake, a new king's name needs to be announced.",প্রজার জন্য নতুন রাজার নাম ঘোষণা দেয়া দরকার,প্রজার লাই নয়া রাজার নাম ঘোষণা দন দরহার
"If you give your consent, we will start the process.",আপনি সম্মতি দিলে আমরা কাজ শুরু করবো,অনে সম্মতি দিলে অ্যাঁরা কাম শুরু গইজ্জুম
"The king said, alright, I'll see.",রাজা বলল আচ্ছা আমি দেখব,রাজা হইলো আচ্ছা অ্যাঁই দেইক্ষুম
The new king's name will be announced today.,নতুন রাজার নাম ঘোষণা করা হবে আজকে,নয়া রাজার নাম ঘোষণা গরা অইব্যু আজিয়ে
The king watches through the gap in the window all day.,রাজা জানালার ফাক করে দেখে সারাদিন,রাজা জানালার ফাক গরে চ্যাঁই গুডাদিন
The king paces back and forth anxiously.,রাজা চিন্তিত মনে পায়চারি করে,রাজা ফেরেশান মনত পায়চারি গরে
Everyone became overjoyed.,সবাই আনন্দে মাতোয়ারা হয়েছে,বেজ্ঞুনে আনন্দে মাতোয়ারা হইয়্যে
The subjects came in front of the palace and started shouting.,প্রজা রাজবাড়ির সামনে এসে চিৎকার করা শুরু করে,প্রজা রাজবাড়ির সামনে আই চিৎকার গরা শুরু গরে
Their noise put a damper on the palace's celebration.,তাদের শব্দে রাজবাড়ির আনন্দে টান পড়েছে,ইতারার শব্দে রাজবাড়ির আনন্দে টান ফইজ্জে
Everyone felt extremely irritated.,সবাই প্রচণ্ড বিরক্তবোধ করল,বেজ্ঞুনে প্রচণ্ড বিরক্তবোধ গরিল
"He scolded them, saying, say whatever you want to say.",ধমক দিয়ে বলল কি বলবি তুই বল,ধকম দি হইলো কি হবি তুঁই হ
The subjects said our beloved king must not be replaced at all.,প্রজারা বলল আমাদের প্রিয় রাজাকে কোন বদল করা চলবে না,প্রজারা হইলো অ্যাঁরার প্রিয় রাজারে হোন বদল গরা ন চলিবু
"Stop this celebration, all of you.",বন্ধ কর এই উৎসব তোমরা,বন্ধ গর এই উৎসব তোঁয়ারা
We don't need a new king.,নতুন রাজা দরকার নেই আমাদের,নয়া রাজা দরহার নাই অ্যাঁরার
"As long as our great king is alive, he remains our king.",আমাদের মহান রাজা জীবিত থাকবে সেই আমাদের রাজা,অ্যাঁরার মহান রাজা জীবিত থাইব ইতেই অ্যাঁরার রাজা
He has been our king from today onward.,সেই আমাদের রাজা আজকে থেকে,ইতেই অ্যাঁরার রাজা আজিয়ে তুন
"As long as there is blood in our bodies, we won't let this great king be replaced.",আমাদের গায়ে রক্ত থাকতে এই মহান রাজাকে বদল করতে দিব না,অ্যাঁরার গাত রক্ত থাইতে এই মহান রাজারে বদল গরিতে ন দিয়্যুম
The chief guard ran and told the minister and the general.,কোতোয়াল দৌড় দিয়ে মন্ত্রি আর সেনাপতিকে বলল,কোতোয়াল দোর দি মন্ত্রি আর সেনাপতিরে হইলো
"They too became furious, burning with rage.",তারাও রাগ হয়ে আগুন হয়ে যায়,ইতেরাও গুসসা অই আগুন অই যায়
"At the general's words, the chief guard climbed the tree.",সেনাপতির কথায় কোতোয়াল গাছের,সেনাপতির হথায় কোতোয়াল গাছর
All the subjects lie there quietly.,প্রজা সবাই পড়ে থাকে চুপ করে,প্রজা বেজ্ঞুনে পড়ি থাহে চুপ গরে
They can't tolerate it anymore.,আর সহ্য করতে পারে না,আর সইজ্জো গরিতে ন ফারে
We want fair judgment from you.,আমরা আপনার ভাল বিচার চাই,অ্যাঁরা অনের গম বিসার চাই
We don't want suffering from these bad people.,এই খারাপ মানুষ কষ্ট চাই না,এই হারাপ মানুষ কষ্ট ন চাই
"You'll see, they will create unrest in our country.",তারা আমাদের দেশে অশান্তি করবে দেখিস,ইতারা অ্যাঁরার দেশত অশান্তি গরিবে চ্যাঁইস
Please don't abandon us.,আপনি দয়া করে আমাদের ফেলে যাবেন না,অনে দয়া গরে অ্যাঁরার ফেলায় ন যাইবেন
They are people of long standing.,অনেক দিন পুরাতন মানুষ তারা,বহুত   দিন পুরাইন্না মানুষ ইতেরা
"They pretend, just to test you.",তোমাকে যাচাই করার জন্য ভান করে,তোঁয়ারে যাচাই গরিবের লাই ভান গরে
I trust them and give them the country to run.,আমি বিশ্বাস করে দেশ চালানোর জন্য দেই,অ্যাঁই বিশ্বাস গরে দেশ চলান্যির লাই দি
They have become very greedy these days.,তারা আজকাল খুব লোভী হয়ে গেছে,ইতেরা আইজকাল বহুত লোভী অই গেইয়্যে
Their test has been carried out today.,তাদের পরীক্ষা হয়ে গেছে আজকে,ইতারার পরীক্ষা অই গেইয়্যে আজিয়ে
It has been tested how much my country's people love me.,আমার দেশের মানুষ আমাকে কত ভালবাসে সেটি পরীক্ষা হয়ে গেছে,অ্যাঁর দেশের মানুষ অ্যাঁরে হতো ভালবাসে ইয়ান পরীক্ষা অই গেইয়্যে
"Saying that, they imprisoned the king.",সেটি বলল আর রাজা বন্দি করে,ইয়ান হইলো আর রাজা বন্দি গরে
The king had appointed people from many lands.,রাজা অনেক দেশের মানুষ নিয়োগ করেছে,রাজা বহুত দেশর মানুষ নিয়োগ গইজ্জে
Today's story is named Tui Tui.,আজকের গল্পের নাম টুই টুই,আজিয়ের গফের নাম টুই টুই
There were many birds in the forest back then.,বনে তখন অনেক পাখি থাকে,বনত তহন বহুত ফাখি থাহে
He thinks to himself that the bird is beautiful.,সে মনে বলেন পাখি সুন্দর,ইতে মনত কন ফাখি সুন্দর
"Brother Pik Pik, are you feeling sad?",ভাই পিক পিক তোমার কি মন খারাপ,বদ্দা পিক পিক তোঁয়ার কি মন হারাপ
"With a sad face, the bird Pik Pik says.",মুখ নিয়ে পিক পিক পাখি বলে,মুক লইয়্যে পিক পিক ফাখি কইয়্যরে
I lost my way and ended up in this jungle.,রাস্তা হারিয়ে জঙ্গলে এসেছি,রাস্তা আঁজাই জঅলত আইচ্ছি
I don't see any birds here.,এখানে কোন পাখি দেখি না,ইয়েন হোন ফাখি ন চ্যাঁই
The bird says nothing tastes good to eat.,পাখি বলে কিছু ভাল লাগে না খেতে,ফাখি কইয়্যরে কিসু গম ন লার হাইতে
"Seeing you, my mood has turned good.",তোমাকে আমার মন ভাল হয়ে গেছে,তোঁয়ারে অ্যাঁর মন গম অই গেইয়্যে
We'll be able to live well in this forest.,আমরা ভাল করে থাকতে পারবো এই বনে,অ্যাঁরা গম গরে থাইতে পাইজ্জুম এই বনত
"What did you say, bird Pik Pik?",কি বললে পিক পিক পাখি,কি হইল্যে পিক পিক ফাখি
It's not possible for us to live together.,মিলেমিশে থাকতে পারবো মানে না,মিলিমিসি থাইতে পাইজ্জুম ন মানে
You are one kind of bird and I am another kind.,তুই এক জাতের পাখি আর আমি অন্য জাতের,তুঁই এক জাতর ফাখি আর অ্যাঁই অন্য জাতর
Two different kinds of birds cannot live together.,দুইটি জাতের পাখি  মিলেমিশে থাকতে পারে না,দুয়ো জাতর ফাখি  মিলিমিসি থাইতে ন ফারে
How is that possible?,এটি কেমন করে সম্ভব,ইবে ক্যান গরে সম্ভব
"Tui Tui said, why isn't it possible?",টুই টুই বলল কেন সম্ভব নয়,টুই টুই হইলো কিল্লাই সম্ভব নয়
It may be that we are different kinds of birds.,হতে পারে আমরা অন্য জাতের পাখি,অইত ফারে অ্যাঁরা অন্য জতর ফাখি
There are many poisonous snakes here.,এখানে অনেক বিষাক্ত সাপ থাকে,ইয়েন বহুত  বিষাক্ত সাপ থাহে
Living together means staying happy and safe.,মিলেমিশে মানে আনন্দে আর নিরাপদ  থাকা,মিলিমিসি মানে আনন্দে আর নিরাপদ  থাহা
We can still be friends.,আমরা তো বন্ধু হতে পারি,অ্যাঁরা তো বন্ধু অইত ফারি
You are far more beautiful than me.,তুই তো আমার থেকে অনেক সুন্দর,তুঁই তো অ্যাঁর তুন বহুত সুন্দর
Your tail is as beautiful as it is colorful.,তোমার লেজ যেমন রঙ্গিন  এরকম সুন্দর,তোঁয়ার লেজ যেল্লে রঙ্গিন এরম সুন্দর
You don't understand what kind of talk this is.,এটি কোন কথা  বুঝেছিস না,ইবে হোন হথা ন বুইজ্জোস
"Without answering, Pik Pik went off, and Tui Tui went to find food.",পিক পিক জবাব না দিয়ে টুই টুই  খাবার জন্য গেছে,পিক পিক জোয়াব ন দি টুই টুই হানা লাই গেইয়্যে
They built a home in the tree.,গাছে ঘর বানিয়েছে তারা,গাছেত ঘর বানাইয়্যে ইতেরা
Today too I'll eat eggs.,আজকে ও ডিম খাবো,আজিয়ে ও  দিম ন হাইয়্যুম
There is no limit to their joy.,আনন্দের কোন সীমা নেই,আনন্দর হোন সীমা নাই
They felt the forest was a place of joy.,তাদের মনে হল বন আনন্দের জায়গা,ইতেরার মনত অইল  বন আনন্দর জাগা
Never speak to me again.,কোনদিন কথা বলিস না,হোনদিন হথা ন হইস
In the flock of birds were ones of the Tui Tui and Pik Pik kinds.,পাখির দলে টুই টুই আর পিক পিক জাতের পাখি,ফাখির দলে টুই টুই আর পিক পিক জাতর ফাখি
They roam around the forest all day.,সারাদিন বনে বেড়ায়,গুডাদিন বনত বেড়ায়
"One day, a bird of Tui Tui's own kind said to it.",একদিন টুই টুই পাখিকে তার জাতের পাখি বলে,একদিন টুই টুই ফাখিরে ইতের জাতর ফাখি কইয়্যরে
There's no such thing as caste among birds.,জাতপাত কিছু নেই,জাতপাত কিসু নাই
An ugly kind of bird cannot be your friend.,অসুন্দর জাতের পাখি তোমার বন্ধু হতে পারে না,অসুন্দর জাতর ফাখি তোঁয়ার বন্ধু অইত ন ফারে
Our beauty cannot be compared.,আমাদের রূপ তুলনা হয় না,অ্যাঁরার রূপ তুলুনা ন অয়
"Why are you saying ""shame, shame"" like this?",এমন ছিঃ ছিঃ কেন করো,এল্লে ছিঃ ছিঃ কিল্লাই গরো
"In the flock of birds, there are two kinds of birds.",পাখির দলে দুয়ো জাতের পাখি আছে,ফাখির দলত দুইটি জাতর ফাখি আছে
We will all build nests too.,আমরাও বাসা  বাধবো সবাই,অ্যাঁরাও বাসা বাইন্দুম বেজ্ঞুনে
They roam around the forest all day.,সারাদিন বনে ঘুরে বেড়ায় তারা,গুডাদিন বনত ঘুরি বেড়ায় ইতারা
They eat food and go to their own homes in the evening.,খাবার খায় তারা আর সন্ধ্যায় নিজ নিজ ঘরে যায়,হানা হায় ইতারা আর আজুইন্নে নিজ নিজ ঘরত যায়
Their forest stays beautiful with the birds' chirping.,পাখির কলরবে বন সুন্দর হয়ে থাকে তাদের,ফাখির কলরবে বন সুন্দর অই থাহে ইতারার
"We are birds too, we are beautiful too, what do you say?",আমরাও পাখি আমরাও সুন্দর কি বলিস,অ্যাঁরও ফাখি অ্যাঁরা ও সুন্দর কি হইস
This is my greatest identity.,এটিই আমার বড় পরিচয়,ইবেই অ্যাঁর ডর পরিচয়
And this is the reason behind living together.,আর মিলেমিশে থাকার পিছনে এটি কারণ,আর মিলিমিসি থাহনের ফিছে ইবে হারণ
"I have no sorrow in my heart, brother.",আমার মনে কোন দুঃখ নেই ভাই,অ্যাঁর মনত হোন দুক নাই বদ্দা
You'll see how well we are all doing.,দেখলে সবাই আমরা কত ভাল আছি,চ্যাঁইলে বেজ্ঞুনে অ্যাঁরা হতো গম আছি
"Brother, I have no sorrow so far.",ভাই আমার এখন পর্যন্ত কোন দুঃখ নেই,বদ্দা অ্যাঁর এহন পইযুন্ত হোন দুক্ক নাই
"Hearing these words from him, everyone in the group got angry.",তার মুখে এই কথা শুনে দলের সবাই রাগ করল,ইতআর মুকে এই হথা শুনি দলের বেজ্ঞুনে রাগ গরিল
But they get angry.,কিন্তু তারা রাগ করে,কিন্ত ইতারা গুসসা  গরে
One bird said regretfully.,একটা পাখি আফসোস করে বলল,এক্কান ফাখি আপসোস গরে হইলো
We could be as happy as that bird if we weren't of different kinds.,আমরা পাখির মত সুখী হতে পারি যদি ন আমরা ভিন্ন জাতের,অ্যাঁরা ফাখির নান সুখী অইত ফারি যদি ন অ্যাঁরা ভিন্ন জাতর
"Hearing the old bird's words, everyone became very happy.",বুড়ো পাখির কথা শুনে সবাই খুব খুশি হল,ব্যুইড়া ফাখির হথা শুনি বেজ্ঞুনে বহুত খুশি অইল
All the birds cheer joyfully.,সব পাখিরা আনন্দে হই হই করে,হক্কল ফাখিরা আনন্দে হই হই গরে
If you accept all of us.,আমাদের সবাইকে মেনে নিলে,অ্যাঁরার অক্কলরে মানি লইলে
We will raise our voices together in melody.,সুর করে উঠাবো আমরা,সুর গরে উঠামু অ্যাঁরা
"Without recognizing caste, we are all one kind.",জাত না মেনে আমরা সবাই একটা জাত,জাত মানি ন অ্যাঁরা বেজ্ঞুনে উজ্ঞো জাত
If you hear this instructive story about not practicing caste discrimination.,জাতপাত না করার উপদেশমূলক গল্প শুনলে,জাতপাত ন গরিবের উপদেশমূলক গফ হুনিলে
You surely know that Islam forbids caste discrimination.,তোমরা নিশ্চয়ই জানো ইসলাম ধর্মে জাতপাতের বৈষম্য করতে নিষেধ করে,তোঁয়ারা নিশ্চয়ই জানো ইসলাম ধর্মেত জাতপাতের বৈষম্য করতে  নিষেধ গরে
"My parents are birds, and they live in a tree.",আমার বাবা মা পাখি তার সাথে তারা গাছে থাকে,অ্যাঁর বাপ মা ফাখি ইতার লগে ইতারা গাছত থাহে
They incubate the eggs and bring food to feed the chick.,ডিম তা দেয় খাবার বাচ্চাকে খাওয়ার জন্য,দিম তা দে হানা ছারে হাওনর লাই
My only job is to study.,আমার কাজ শুধু লেখা পড়া করা,অ্যাঁর কাম উধে লেখা পড়া গরা
"To always listen to parents and elders, and to do work on time.",বাবা মা গুরুজনের কথা শুনা সব সময় কাজ সময় করা,বাপ মা গুরুজনর হথা পুনা হক্কল সমত কাম সমত গরা
The bird does all its own work by itself.,পাখি নিজের কাজ নিজেই করে সব,ফাখি নিজর কাম নিজেই গরে হক্কল
We must do our own work well.,আমাদের নিজের কাজ সুন্দর করে করতে হবে,অ্যাঁরর নিজর কাম সুন্দর গরে গরিতে অইব্যু
"When you all grow up, you'll become true human beings.",তোরা বড় হবো প্রকৃত মানুষ হয়ে উঠবি,তুঁরা ডর অইয়্যুম প্রকৃত মানুষ অই উডিবি
There was a wealthy merchant in my village.,আমার গ্রামে বড় শেঠজি ছিল,অ্যাঁর গ্রামত ডর শেঠজি আইসসিল
The merchant had a very kind heart.,শেঠজির মন ছিল   খুব ভাল,শেঠজির মন আইসসিল বহুত গম
Every day the merchant would go donate food at the temple.,প্রতিদিন মন্দিরে শেঠজি খাবার দান করে যেত,ফত্তিন মন্দিরত শেঠজি হানা দান গরে যাইত্যু
"The merchant comes to the temple, and all the poor come too.",শেঠজি মন্দিরে আসে  আর গরিব সবাই আসে,শেঠজি মন্দিরত অ্যাইয়ে আর গরিব বেজ্ঞুনে অ্যাইয়ে
Will you come to the temple every day?,প্রতিদিন মন্দিরে আসবি,ফত্তিন মন্দিরত  আবি
"I don't like it, father.",আমার তো ভাল লাগে না বাবা,অ্যাঁর তো গম ন লার বাপ
I know you are a great person.,আমি তো জানি তোমার বড় মানুষ,অ্যাঁই তো জানি তোঁয়ার ডর মানুষ
Whoever God intends food for will eat that.,ঈশ্বর যার জন্য খাবার সে তাই খাবে,ঈশ্বর যার লাই হানা ইতে তাই হাইব্যু
"Hearing the girl's words, the merchant felt pleased.",মেয়ের কথা শুনে শেঠজির ভাল লাগে,মাইয়্যার হথা শুনি শেঠজির গম লার
Making her his own daughter.,তাকে নিজের মেয়ের করে,ইতারে নিজর মাইয়্যার গরে
Taking her to his own home to raise her.,মানুষ করার জন্য নিজের ঘরে নিয়ে যেয়ে,মানুষ গরিবের লাই নিজর ঘরত লইয়্যে যাই
Then he gave the orphan girl a lot of education.,তারপর অনাথ মেয়েকে সে অনেক লেখাপড়া,তারপর অনাথ মাইয়্যারে ইতে বহুত লেয়াপড়া
He raised her in his own way.,নিজের মত করে তাকে মানুষ করেছে,নিজর নান গরে ইতারে মানুষ গইজ্জে
The girl never lacked anything ever again.,মেয়ের আর কোনদিন কোন অভাব থাকল না,মাইয়্যার আর হোনদিন হোন অভাব ন থাকিল
One day the king and Sunil went out to play.,একদিন রাজা আর সুনিল খেলতে গেল,একদিন রাজা আর সুনিল খেলিতে গিল
On the road they saw a poor old woman lying there.,রাস্তায় দেখল গরিব বৃদ্ধা শুয়ে থাকে,রাস্তাত চ্যাঁইলে গরিব বৃদ্ধা লেডি থাহে
The king went and asked her.,রাজা যেয়ে জিজ্ঞাসা করল,রাজা যাই পুঁছার গরিল
Why are you lying here?,তুই এখানে শুয়ে কেন আছো,তুঁই ইয়েন লেডি কিল্লাই আছো
I have to lie down like this.,এমন করে শুয়ে থাকতে হয়,এন গরে লেডি থাইতে অয়
Many cars pass by like this on the road.,অনেক গাড়ি যায় রাস্তায় এমন করে,বহুত গাড়ি যার রাস্তাত এন গরে
I don't have the strength to move.,আমার তো নড়ার শক্তি নেই,অ্যাঁর তো নরিবার শক্তি নাই
I haven't eaten anything all day.,দিন আমি কিছু খাই না,দিন অ্যাঁই কিসু ন হাঁই
The king felt deep sorrow at the old woman's words.,বৃদ্ধার কথায় মনে বড় কষ্ট পেয়েছে রাজা,বৃদ্ধার হথায় মনত বড় কষ্ট পাইয়্যে রাজা
"Mother, no one gives me anything to eat.",আমাকে কিছু খেতে দেয় না মা,অ্যাঁরে কিসু হাইতে ন দে মা
The king's mother hands it to the king.,রাজার মা রাজাকে হাইতে দেয়,রাজার মা রাজারে হাইতে দে
The king will take it and run.,রাজা সেটি নিয়ে দৌড় দেবে,রাজা ইয়ান লইয়্যে দোর দিব্যু
She gave the king many blessings.,সে রাজাকে অনেক আশীর্বাদ করল,ইতে রাজারে বহুত আশীর্বাদ গরিল
"You are a good boy, may God bless you.",তুই ভাল ছেলে ভগবান তোমার মঙ্গল করুক,তুঁই গম ফোয়া ভগবান তোঁয়ার মঙ্গল গরুক
"Going home, the king told his mother everything.",বাড়িতে যেয়ে রাজা তার মাকে খুলে বলল,বাড়িত যাই রাজা ইতার মারে খুলি হইলো
"Hearing all this, his mother said, I feel very proud.",এসব শুনে তার মা বলল আমি বেশি গর্ববোধ করি,এগিন শুনি ইতের মা হইলো অ্যাঁই বেশি গর্ববোধ গরি
You help all the poor like this.,এমন করে তুই গরিব সবার সাহায্য করিস,এন গরে তুঁই গরিব বেজ্ঞুনের সাহায্য গরিস
"The king said, I will try with all my heart.",রাজা বলল আমি আমার প্রানটা দিয়ে চেষ্টা করবো,রাজা হইলো অ্যাঁই অ্যাঁর পরান্নান দি চেষ্টা গইজ্জুম
The little monkey Balu stays in the tree all day.,ছোট বালু বাঁদর সারাদিন গাছে থাকে,ছোড বালু বাঁদর গুডাদিন গাছেত থাহে
They cause mischief.,তারা বদমাইশি করে,ইতেরা বদমাইশি গরে
They throw it away.,তারা এটি ফেলে দেয়,ইতেরা ইবে ফেলায় দে
It has become their habit to throw things and destroy them.,সেটি হয়ে তারা কাজ জিনিস ছুড়ে মারি আর নষ্ট করা,ইয়ান অই ইতের কাম জিনিস মেলা মারি আর নষ্ট গরা
As if it has become his nature.,যেন তার স্বভাব হয়ে গেছে,যেন ইতার স্বভাব অই গেইয়্যে
"He won't eat the good fruits himself, and won't let me eat them either.",ভাল ভাল ফল নিজেও খাবে না আমাকে ও খেতে দেবে না,গম গম ফল নিজেও ন হাইব্যু অ্যাঁরে ও হাইতে ও ন দিব্যু
He will ruin everything.,সব জিনিস সে নষ্ট করবে,হক্কল জিনিস ইতে নষ্ট গরিবে
Once there was a little bird named Tuitu.,একদিন টুইটু নামে ছোট পাখি ছিল,একদিন  টুইটু নামে ছোড ফাখি আইসসিল
"At the right moment, Balu will throw it down and kill it.",ঠিক সময় বালু করে ফেলে মারবে,ঠিক সমত বালু গরে ফেলায় মারিব্যু
"If you're not going to eat it, why did you spoil the fruit?",যদি খাবে না তাহলে ফল নষ্ট করলে কেন,যদি ন হাইব্যু তঁইলে ফল নষ্ট গইল্লি কিল্লাই
Tuitu asked me.,আমাকে টুইটু জিজ্ঞাসা করল,অ্যাঁরে টুইটু পুঁছার গরিল
"Go do your own work, go on.",যেয়ে নিজের কাজ কর যেয়ে,য্যাই নিজর কাম গর য্যাই
It would be better if you didn't act too smart.,বেশি পাকনামি না করলে ভাল,বেশি পাকনামি ন গইল্লি গম
"I'll do whatever I please, don't you understand?",আমার যা খুশি করবো তোমার কি বুঝি না,অ্যাঁর যা খুশি গইজ্জুম তোঁয়ার কি ন বুজি
We can sing beautifully.,আমরা সুন্দর গান করতে পারি,অ্যাঁরা সুন্দর গান গরিতে ফারি
"Hearing the fox's words, the crow can't stay composed any longer.",শিয়ালের কথা শুনে কাক আর ভাল করে থাকতে পারে না,শিয়ালর হথা শুনি কাউয়া আর গম গরে থাইতে ন ফারে
One day two friends suddenly came face to face with a bear.,একদিন দুটো বন্ধু হঠাৎ ভাল্লুকের সামনে পড়েছে,একদিন দুয়ো বন্ধু আতিক্কে ভালুকের সামনে ফইজ্জে
"Among my friends, I am the one who can climb trees.",আমার বন্ধুর মধ্যে আমি গাছে উঠতে পারি,অ্যাঁর বন্ধু মাজে অ্যাঁই গাছেত উডন ফারি
"Sensing danger, he climbed up to sit in a big tree.",বিপদ বুঝে সময় বড় গাছের বসে থাকতে,বিপদ বুজি সমত ডঁর গাছর বৈ থাইতে
"Without listening to his friend, he sits in the tree.",সে বন্ধুর কথা না শুনে গাছে বসে থাকে,ইতে বন্ধুর হথা ন শুনি গাছেত বৈ থাহে
He can't climb the tree.,সে গাছে উঠতে পারে না,ইতে গাছেত উডন ন ফারে
"Without a thought for his friend, he leaves him in danger.",সে বন্ধুর কথা না চিন্তা তাকে বিপদে ফেলে রাখে,ইতে বন্ধুর হথা চিন্তা ন ইতারে বিপদত ফেলায় রাহে
He calmly arranges for his own safety.,সে নিশ্চিন্তে আত্নরক্ষার জোগাড় করে,ইতে নিশ্চিন্তে আত্নরক্ষার জুগার গরে
"Sensing danger, he lies down under the tree.",বিপদ বুঝে গাছের তলায় শুয়ে থাকে,বিপদ বুজে গাছর তলায় লেডি থাহে
