#,English,Bangla,Chittagonian
6728,We married her.,আমরা তাকে বিয়ে করি,অ্যাঁরা ইতারে বিয়া গরি
6729,No cleric marries us.,আমাদের কোন হুজুর বিয়ে দেয় না,অ্যাঁরার হোন উজুর বিয়া ন দে
6730,We don't have any marriage registration document.,আমাদের কোন কাবিননামা নেই,অ্যাঁরার হোন কাবিননামা নাই
6731,"No marriage contract is made, no cleric performs the wedding.",কাবিন করে না হুজুর বিয়ে দেয় না,কাবিন গরে না উজুর বিয়া ন দে
6732,The wife came and opened the door.,বউ এসে দরজা খুলে দিয়েছে,বউ আই দরজা খুলি দিইয়্যি
6733,He went outside for some work.,একটা কাজে সে বাহিরে চলে গেল,উজ্ঞো কামে ইতে বাইরে চলি গিল
6734,"Before he could say anything else, she said.",সে আর কিছু বলার আগে সে বলল,ইতে আর কিসু হইবের আগে হইলো
6735,"How are you, sister-in-law?",কেমন আছেন ভাবি,ক্যান আছোন ভাবি
6736,"I'm fine, brother, how about you?",ভাই ভাল তুই কেমন আমাকে,বদ্দা গম তুঁই ক্যান অ্যাঁরে
6737,"I'm doing well, sister-in-law, where is everyone else?",ভাল আছি ভাবি বাকি সবাই কোথায়,গম আছি ভাবি বাকি বেজ্ঞুনে হডে
6738,You've come after such a long time today.,আজ অনেক দিন পরে এসেছে তো,আজিয়ে বহুত দিন ফরে আইসসে তো
6739,"Will you just get all the news standing here, won't you come inside?",এখানে থেকে কি সব খবর নিবে ভিতরে আসবে না,ইয়েন তুন কি হবর লইবে বিতুরে ন আইব্যু
6740,"Without saying anything, everyone went inside.",সবাই কিছু না বলে ভিতরে চলে গেল,বেজ্ঞুনে কিসু ন কইয়্যরে বিতুরে গিল
6741,He sees a girl playing there.,সে দেখে সেখানে একটা মেয়ে খেলে,ইতে চ্যাঁই ওডে উজ্ঞো মাইয়্যা হাইলে
6742,He came and went up to the girl and said.,সে এসে সে মেয়ের কাছে গিয়ে বলল,ইতে আই ইতে মাইয়্যার হাছে গিয়্যি হইলো
6743,Let me see who has come here.,দেখলাম তো এটি কে এসেছে,দেইক্কি তো ইবে কেডা আইসসে
6744,Then the girl raised her head and looked at him.,তখন মেয়ে তার দিকে মাথা তুলে দেখে,তহন মাইয়্যা ইতার মিক্কে মাতা তুলি চ্যাঁই
6745,He went closer and sat down in front of the girl.,সে কাছে গিয়ে মেয়ের সামনে বসে,ইতে হাছে গিয়্যি মাইয়্যার সামনে বৈ
6746,"Bringing her a little closer, he said.",একটু কাছে নিয়ে বলল,এক্কানা হাছে লইয়্যে হইলো
6747,"Maisha, how are you all doing?",মাইশা কেমন আছো তোমরা,মাইশা ক্যান আছো তোঁয়ার
6748,"After speaking, she fell silent and looked down.",কথা বলে চুপ করে নিচে দিকে দেখে,হথা কইয়্যরে চুপ গরে তলাত মিক্কে চ্যাঁই
6749,It looks like she's upset.,দেখে মনে হচ্ছে রাগ করেছে,চ্যাঁই মনত অইলদে গুসসা গইজ্জে
6750,"What happened, why are you so quiet?",কি হল তুই এমন চুপ করে কেন,কি অইল তুঁই এন চুপ গরে কিল্লাই
6751,Weren't you going to talk so much with me?,তুই না আমার সাথে কত কথা বলবি,তুঁই না অ্যাঁর লগে হতো হথা হবি
6752,Then why are you quiet now?,তাহলে এখন চুপ কেন,তঁইলে এহন চুপ কিল্লাই
6753,What will you bring for me?,আমার জন্য কি আনবেন,অ্যাঁর লাই কি আনিবেন
6754,He understands the reason she's upset.,বুঝতে পারে তার রাগ করে থাকার কারণ,ঠওর ফারে ইতার গুসসাগরে থাহনের হারণ
6755,He hands her the one he had with him.,তার কাছে থাকা একটা তার হাতে দেয়,ইতার হাছে থাওন উজ্ঞো ইতার আঁতত দে
6756,"Then, placing his hand on her cheek, he said.",তারপর তার গালে হাত দিয়ে বলল,তারপর ইতার গালত আঁত দি হইলো
6757,"Uncle, you are very good.",চাচা তুই অনেক ভাল,চাচা তুঁই বহুত গম
6758,"Seeing all this, they said.",তাদের এসব দেখে বলল,ইতারার এগিন চ্যাঁই হইলো
6759,"Enough, you'll go right away.",হয়েছে একবারে তুই যাবি,হইয়্যে এব্বেরে তুঁই যাবি
6760,"Everything will be fine, brother, finish your work.",সব হবে ভাই তুই কাজ শেষ কর,হক্কল অইব্যু বদ্দা তুঁই কাম শেষ গর
6761,I'll arrange your food.,আমি তোমার খাবার ব্যবস্থা করি,অ্যাঁই তোঁয়ার হানা ব্যবস্থা গরি
6762,I've kept all your things with me.,তোর সব আমার কাছে রেখে এসেছি,তুঁর হক্কল অ্যাঁর হাছে রাহি আইচ্ছি
6763,You'll see them first.,তোর দেখা হবে আগে,তুঁর দেহা অইব্যু আগে
6764,He shows everything.,সে সব দেখিয়ে দেয়,ইতে হক্কল দেহাই যে
6765,He is very surprised.,সে অনেক অবাক হচ্ছে,ইতে বহুত অবাক অইলদে
6766,For arranging all the things.,সব জিনিস সাজার জন্য,হক্কল জিনিস সাজিবার লাই
6767,"Through the window, a place a little away from the house.",জানালা দিয়ে বাড়ির কিছু দূরে থাকা,জানালা দি বাড়ির কিসু দূরে থাওন
6768,The tea garden can be seen very clearly.,চা বাগান খুব ভাল করে দেখা যাচ্ছে,চা বাগান বহুত গম গরে দেহা যার
6769,"Brother, have you liked it",ভাই তোর পছন্দ হয়েছে,বদ্দা তুঁর ফসন্দো হইয়্যে
6770,I liked it a lot,অনেক পছন্দ হয়েছে আমার,বহুত ফসন্দো হইয়্যে অ্যাঁর
6771,Can something you like be bad,তোমার পছন্দ করা কোন কিছু কি খারাপ হতে পারে,তোঁয়ার ফসন্দো গরা হোন কিসু কি হারাপ অইত ফারে
6772,"I don't like it, brother",আমি পছন্দ করি না ভাই,অ্যাঁই ফসন্দো ন গরি বদ্দা
6773,She liked it for you,তোমার জন্য পছন্দ করেছে,তোঁয়ার লাই ফসন্দো গইজ্জে
6774,Who is she to say something,কিছু বলতে কে সে,কিসু হইতে কেডা ইতে
6775,"Let time pass, you'll get to know everything",সময় হোক সব জানতে পারবে,সমত হোক হক্কল জানিত ফাইত্ত
6776,Are you having any trouble,কোন অসুবিধা হচ্ছে আপনার,হোন অসুবিদা অইলদে অনের
6777,"Why would there be trouble, it's a matter of the heart",কেন অসুবিধা হবে মনের ব্যাপার,হোন অসুবিদা অইব্যু মনর ব্যাফার
6778,None of his marriages last,কোন বিয়ে টিকে না তার,হোন বিয়া ন টিকে ইতার
6779,"Everyone has left, isn't that your aunt",সবাই চলে গেছে তোমার চাচি না,বেজ্ঞুনে চলি গেইয়্যে তোঁয়ার চাচি ন
6780,I told him about your aunt,তাকে তোমার চাচির কথা বললাম,ইতারে তোঁয়ার চাচির হথা হইলাম
6781,She will never leave me,সে কোনদিন আমাকে ছেড়ে চলে যাবে না,ইতে হোনদিন অ্যাঁরে ছাড়ি চলি ন যাইব্যু
6782,Our love holds on,আমাদের ভালবাসা ধরে রাখে,অ্যাঁরার ভালবাসা ধরি রাহে
6783,People here know everything,এখানে মানুষ সব জানে,ইয়েন মানুষ হক্কল জানে
6784,Everyone knows I got married,সবাই জানে আমার বিয়ে করা,বেজ্ঞুনে জানে অ্যাঁরা বিয়া গরা
6785,A ferry was seen on the river,নদীতে দেখা গেল ফেরী,নদীতে দেহা গিল ফেরী
6786,"I say, uncle, I'm leaving",আমি বলি চাচা আমি যাই,অ্যাঁই হই চাচা অ্যাঁই যাই
6787,I see Labonno has made and brought a cup of tea,দেখি লাবণ্য একটা কাপ চা বানিয়ে নিয়ে এসেছে,চ্যাঁই লাবণ্য উজ্ঞো কাপ চা বানাই লইয়্যে আইসসে
6788,"Giving me tea, she says, will you drink tea",আমাকে চা দিয়ে বলে তুই চা খাবি,অ্যাঁরে চা দি কইয়্যরে তুঁই চা হাবি
6789,Today you'll drink a lot of tea,আজকে অনেক চা খাবি,আজিয়ে বহুত চা হাবি
6790,He will come to the country from Japan,সে জাপান হতে দেশে আসবে,ইতে জাপান তুন দেশে আইব্যু
6791,For many days his brother has been leaving home,অনেক দিন তার ভাই বাড়ি ছেড়ে যায়,বহুত দিন ইতার বদ্দা বাড়ি ছাড়ি যায়
6792,Builds a house in a city,একটা শহরে বাড়ি করে,উজ্ঞো শহোরত বাড়ি গরে
6793,The ground is slipping away from under my feet,আমার পায়ের নিচে থেকে মাটি চলে যাচ্ছে,অ্যাঁর ঠ্যাংঅর তলাত তুন মেডি চলি যার
6794,I ask questions like a fool,আমি খুব বোকার মত প্রশ্ন করি,অ্যাঁই বহুত বোকার নান ফশ্ন করি
6795,Didn't you see what I'm doing,আমি কি করছি দেখলে না,অ্যাঁই কি গইজ্জি ন চ্যাঁইলে
6796,"Whatever I had to say, friend",আমার যা কথা ছিল বন্ধু,অ্যাঁর যা হথা আইসসিল বন্ধু
6797,I am among people,মানুষের মাঝে আছি,মাইনসের মাজে আছি
6798,I can't stay anymore,আমি আর থাকতে পারি না,অ্যাঁই আর থাইতে ন পারি
6799,It's finishing me off slowly,আমাকে শেষ করছে আস্তে আস্তে,অ্যাঁরে শেষ গরের আস্তে আস্তে
6800,You're getting late,তোর দেরি হয়ে যাচ্ছে,তুঁর দেরি অই যার
6801,Should I go and just sit there,আমি যেয়ে বসে থাকবো নাকি,অ্যাঁই য্যাই বৈ থাইক্কুম নি
6802,He came near the window and said,সে জানালার কাছে এসে বলল,ইতে জানালার হাছে আই
6803,Now your name has spread everywhere,এখন তোর নাম হয়ে গেছে সব জায়গায়,এহন তুঁর নাম অই গেইয়্যে হক্কল জাগাত
6804,You've become famous,তুই বিখ্যাত হয়ে গেছিস,তুঁই বিখ্যাত অই গেইয়্যুস
6805,"Am I happy, what do you say",সুখে আছি কি বলিস,সুখত আছি কি হইস
6806,She took my car,আমার গাড়ি নিয়ে নিল সে,অ্যাঁর গাড়ি লইয়্যে লইল ইতে
6807,Why is she leaving my life,আমার জীবন থেকে কেন চলে যাচ্ছে,অ্যাঁর জীবন তুন কিল্লাই চলি যার
6808,She's leaving again,আবার চলে যাচ্ছে সে,আবার চলি যার ইতে
6809,The last conversation will be with me today,শেষ কথা আজকে আমার সাথে হবে,শেষ হথা আজিয়ে অ্যাঁর লগে অইব্যু
6810,Stuck like a pin,আলপিনের মত লেগে আছে,আলপিনর নান লাগি আছে
6811,"Look, Onirban, all at once",দেখে যা একবারে অনির্বান,চ্যাঁই যা এব্বেরে অনির্বান
6812,I am happy,সুখে আছি আমি,সুখত আছি অ্যাঁই
6813,He thinks I sing happily,সে মনে করে সুখে গান গাই,ইতে মনত গরে সুখত গান গাঁই
6814,My life of walking the path,পথ চালানোর আমার জীবন,পথ চলান্যির অ্যাঁর জীবন
6815,Life just means words,শুধু কথা মানে জীবন,উধে হথা মানে জীবন
6816,Life means working,কাজ করে মানে জীবন,কাম গরে মানে জীবন
6817,Life is just adding and subtracting,শুধু যোগ বিয়োগ করা জীবন,উধে যোগ বিয়োগ গরা জীবন
6818,How many times I went to your house and came back,কত তোর বাড়ি গিয়ে ফিরে এলাম,হতো তুঁর বাড়ি গিয়্যি ফিরি আইলাম
6819,There's no one like you,তোর মত কেউ নেই,তুঁর নান কেউ নাই
6820,How many yellow envelopes through your window,কত তোর জানলা দিয়ে হলুদ খাম,হতো তুঁর জানলা দি হলুদ খাম
6821,"In my opinion, there's no one like you now",আমার মতে তোর মত কেউ নেই এখন,অ্যাঁর মতে তুঁর নান কেউ নাও এহন
6822,Who is on the street of your house,তোর বাড়ির রাস্তায় কে,তুঁর বাড়ির রাস্তাত কেডা
6823,Writes poetry hidden with care,যত্নে লুকিয়ে কবিতা লিখে,যত্নেত লুয়োই কবিতা লিহে
6824,It gets read more than that,তার বেশি পড় যায়,ইতার বেশি ফর যায়
6825,Nothing could be understood anymore,কিছু বুঝা গেল না আর,কিসু বুজা ন গিল আর
6826,Where it ends before there's talk,যেখানে কথা বলার আগে শেষ,যেডে হথা হইবের আগে শেষ
6827,There it will go to search for a face,সেখানে মুখ খুঁজতে যাবে,ওডে মুক তোঁয়াইতে যাইব্যু
6828,Where sun and rain play,যেখানে রোদ আর বৃষ্টি খেলা করে,যেডে রোদ আর বৃষ্টি খেলা গরে
6829,I think I'll go there,সেখানে যাবো চিন্তা করি,ওডে যাইয়্যুম চিন্তা গরি
6830,Don't finish the writing,লেখা শেষ কর না,লেহা শেষ ন গর
6831,"This is it, the hand and the dark night are gone",এই বুঝি গেল হাত আর কালো রাত,এই বুজি গিল আঁত আর হালা রাইত
6832,Time passed in all your arrangements,সময় গেল তোমার সব আয়োজনে,সমত গিল তোঁয়ার হক্কল আয়োজনত
6833,Why is he afraid every day,প্রতিদিন ভয় পায় কেন,ফত্তিন ডর পায় কিল্লাই
6834,Hearing many words,অনেক শব্দ শুনে,বহুত শব্দ শুনি
6835,"You have no strength at all, you have no one",একেবারে বল নেই তোর কেউ নেই,এক্কোবারে হ নাই তুঁর কেউ নাই
6836,She writes many letters,সে অনেক চিঠি লিখে,ইতে বহুত চিডি লিহে
6837,Just as I keep things managed in work,যেমন কাজে সামলে রাখি,যেল্লে কামে সামলিয়ে রাহি
6838,"Just as one day, foolishly forgetting",যেমন একদিন বোকার মত ভুলে,যেল্লে একদিন বোকার নান ভুলে
6839,"Just as at night, our hands in the hair",যেমন রাতে চুলে আমাদের হাত,যেল্লে রাইতে চুলে অ্যাঁরার আঁত
6840,Let me be as I am,আমাকে আমার মত থাকতে দাও,অ্যাঁরে অ্যাঁর নান থাইতে দ
6841,I make myself the way I am,আমি নিজেকে নিজের মত করে,অ্যাঁই নিজেরে নিজর নান গরে
6842,"That wasn't there, it wasn't there",সেটি ছিল না ছিল না সেটি,ইয়ান ন আইসসিল ইয়ান ন আইসসিল
6843,Let some of your unfulfilled wishes remain,তোমার না পাওয়া থাক কিছু,তোঁয়ার ন পাওন থাহ কিসু
6844,Getting everything ruins life,সব পেলে নষ্ট জীবন,হক্কল পাইলে নষ্ট জীবন
6845,What is there in this world of yours,তোর এই দুনিয়াতে কি,তুঁর এই দুনিয়েত কি
6846,Will the day end,দিন শেষ হবে নাকি,দিন শেষ অইব্যু নি
6847,"Something like wind, yours",কিছু বাতাসের মত তোর,কিসু বাতাসর নান তুঁর
6848,"If it wants to go, then",যদি যেতে চায় তবে,যদি যাইতাম চায় তয়
6849,Why should I keep my eye on the binoculars,কেন দূরবীণে চোখ রাখবো নাকি,কিল্লাই দূরবীণত চুখ রাইক্ষুম নি
6850,Writing stories saves time,গল্প লিখে বাঁচায় সময়,গফ লিহে বাঁচায় সমত
6851,I don't want all this of his anymore,আমি চাই না আর এসব তার,অ্যাঁই ন চাই আর এগিন ইতার
6852,"So I'm trying, what else can I do",তাই চেষ্টা করছি কি আর করবো,তাই চেষ্টা গইজ্জি কি আর গইজ্জুম
6853,Sometimes the sky goes quiet,কখনো আকাশ চুপ করে,হনঅত্তে আকাশ চুপ গরে
6854,If love comes down very early in the morning,যদি নেমে আসে ভালবাসা অনেক ভোরে,যদি লামি অ্যাইয়ে ভালবাসা বহুত পইত্তে
6855,Searches for me with eyes,চোখ দিয়ে খুঁজে আমাকে,চুখ দি তোঁয়াইন অ্যাঁরে
6856,Then I am no longer there,তখন আমি আর নেই,তহন অ্যাঁই আর নাই
6857,Who keeps something for me,আমার জন্য রাখে কে,অ্যাঁর লাই রাহে কেডা
6858,I never stay close to people,আমি মানুষের কাছে থাকি না কোনদিন,অ্যাঁই মাইনসের হাছে ন থাহি হোনদিন
6859,"Will you finish and go, or go now",শেষ করে যাবেন নাকি এখন যাবেন,শেষ গরে যাইবেন নি এহন যাইবেন
6860,Give me your hand,দাও তোর হাত,দ তুঁর আঁত
6861,I want to hold you again,আমি আবার তোকে ধরার চাই,অ্যাঁই আবার তুঁরে ধরিবার চাই
6862,Give your hand to him,তাকে দাও তোর হাত,ইতারে দ তুঁর আঁত
6863,I stay with you again,আমি আবার তোর সাথে থাকি,অ্যাঁই আবার তুঁর লগে থাহি
6864,"Your hand, my hand",তোর হাত আমার হাত,তুঁর আঁত অ্যাঁর আঁত
6865,Somehow it stays stuck,কিভাবে যেন আটকে থেকে যায়,কেনে যেন আটকে তুন যায়
6866,"Sometimes speaks, sometimes stays silent",কখনো কথা বলে কখনো চুপ থাকে,হনঅত্তে হথা কইয়্যরে হনঅত্তে চুপ থাহে
6867,May these not get stuck,এসব যেন আটকে যায় না,এগিন কেনে যেন আটকে ন যায়
6868,"Many evenings, hand in your hair",অনেক সন্ধ্যায় তোমার চুলে হাত,বহুত আজুইন্নে তোঁয়ার চুলত আঁত
6869,There's no use putting it in your and my head,তোমার আমার মাথায় দিয়ে লাভ নেই,তোঁয়ার অ্যাঁর মাতাত দি ফায়দা নাই
6870,Now I have nothing to say,এখন আমার নেই কোন কথা,এহন অ্যাঁর নাই হোন হথা
6871,Our path will be beautiful,আমাদের রাস্তা সুন্দর হবে,অ্যাঁরার রাস্তা সুন্দর অইব্যু
6872,You have many dreams,তোমার অনেক স্বপ্ন আছে,তোঁয়ার বহুত খোয়াব আছে
6873,They will see it in their own way,তারা নিজের মত দেখবে,ইতারা নিজর নান চ্যাঁইবে
6874,"If you ever get time, meet for a while",কখনো সময় পেলে একটু দেখা,হনঅত্তে সমত পাইলে এক্কানা দেহা
6875,I won't find it anywhere,আমি কোথাও খুঁজে পাবো না,অ্যাঁই কোনমিক্কে তোঁয়াইন ন পাইয়্যুম
6876,I don't want any work,আমি চাই না কোন কাজ,অ্যাঁই ন চাই হোন কাম
6877,I've finished my lentils and rice,আমি ডাল ভাত শেষ করেছি,অ্যাঁই ডাইল ভাত শেষ গইজ্জি
6878,Let my sleep go,যাক ঘুম আমার,যাক ঘুম অ্যাঁর
6879,I know it doesn't get anything close,জানি পায় না কাছে কিছু,জানি ন পায় হাছে কিসু
6880,My two hands,আমার দুইটা হাত,অ্যাঁর দুইয়্যান আঁত
6881,"No, I won't have a home",না ঘর আমার হবে না,ন ঘর অ্যাঁর ন অইব্যু
6882,"No, there won't be time tonight",না আজকে রাতে সময় হবে,ন আজিয়ে রাইতে সমত অইব্যু
6883,They kept his name hidden,তারা লুকিয়ে রেখে তার নাম,ইতারা লুয়োই রাহি ইতার নাম
6884,Has it gotten lost inside,হারিয়ে গেছে নাকি ভিতরে,আঁজাই গেইয়্যে নি বিতুরে
6885,Will I find myself,আমাকে খুঁজে পাবো নাকি,অ্যাঁরে তোঁয়াইন পাইয়্যুম নি
6886,It won't be found,খুঁজে পাওয়া যাবে না,তোঁয়াইন ন ফাইবে
6887,You'll find me with you,তোমার কাছে আমাকে পাবে,তোঁয়ার হাছে অ্যাঁরে ফাইবে
6888,I don't listen to all of you,তোমার সব শুনি না,তোঁয়ার হক্কল ন ফুনি
6889,There are some words inside the room of the heart,মনের ভিতরে ঘরে কিছু কথা আছে,মনর বিতুরে ঘরত কিসু হথা আছে
6890,Who will go then,কে যাবে তখন,কেডা যাইব্যু তহন
6891,You won't be able to see him today,তুমি আজকে তাকে দেখতে পারবে না,তুই আজিয়েত ইতারে চ্যাঁইতে ন ফাইত্ত
6892,Storm in his life,তার জীবনে ঝড়,ইতার জীবনত ঝড়
6893,Your words are noise pollution,তোমার কথা শব্দ দূষণ,তোঁয়ার হথা শব্দ দূষণ
6894,I've painted my door,আমার দরজায় রঙ দিয়ে দিয়েছি,অ্যাঁর দরজাত রঙ দি দিয়্যি
6895,I have a high fever,আমার অনেক জ্বর,অ্যাঁর বহুত জ্বর
6896,"Your boat, my soldier",তোমার নৌকা আমার সৈন্য,তোঁয়ার নাও অ্যাঁর সৈন্য
6897,My minister has forgotten,আমার মন্ত্রী ভুলে গেছে,অ্যাঁর মন্ত্রী ভুলে গেইয়্যে
6898,He made the mistake himself,সে নিজে ভুল করেছে,ইতে নিজে ভুল গইজ্জে
6899,Words are piling on words,কথার উপরে কথা হচ্ছে,হথার উদ্দি হথা অইলদে
6900,Looking at the mirror of one's own face,নিজের মুখের আয়না দেখা,নিজর মুকের আয়না দেহা
6901,Very soft inside,ভিতরে অনেক নরম,বিতুরে বহুত নরম
6902,Big danger will come,বড় বিপদ আসবে,ডঁর বিপদ আইবে
6903,Why just words upon words,কথার উপরে শুধু কথা কেন,হথার উদ্দি উধে হথা কিল্লাই
6904,"If your heart cries, come over",যদি মন কাঁদে তুমি চলে এসো,যদি মন হাঁন্দে তুই চলি আইস্যু
6905,"Come, let's watch the rain",এসো বৃষ্টি দেখি,আইস্যু বৃষ্টি চ্যাঁই
6906,If the sky is there then,যদি তখন আকাশ থাকে,যদি তহন আকাশ থাহে
6907,Holding a kadam flower in my hand,কদম হাতে নিয়ে আমি,কদম আঁতত লইয়্যে অ্যাঁই
6908,The sky will turn dark,আকাশ হবে কালো,আকাশ অইব্যু হালা
6909,A clever person doesn't understand,চালাক লোক বুঝে না,চালাক লোক ন বুজে
6910,Will give with a kadam flower,কদম দিয়ে দেবে,কদম দি দিব্যু
6911,I won't drink water with you,পানি তোমাকে নিয়ে খাবো না,পানি তোঁয়ারে লইয়্যে ন হাইয়্যুম 
6912,If your heart cries,যদি মন কাঁদে তোমার,যদি মন হাঁন্দে তোঁয়ার
6913,Don't you come,তুমি এসো ন,তুই ন আইস্যু
6914,"During the day, a song comes to mind",দিনে মনে পরে গান,দিনে মনত ফরে গান
6915,Rain falls pitter-patter,বৃষ্টি পরে টাপুর টুপুর,বৃষ্টি ফরে টাপুর টুপুর
6916,"If I call out and say, come",যদি ডেকে বলি এসো,যদি ডাহি হই আইস্যু
6917,A thousand rains fall,চলে হাজার বৃষ্টি,চলি আজার বৃষ্টি
6918,"Come, let's all sing",এসো গান করি সবাই,আইস্যু গান গরি বেজ্ঞুনে
6919,"You won't come, I know, I know",আসবে না তুমি জানি আমি জানি,আইব্যু ন তুই জানি অ্যাঁই জানি
6920,Why does it call near,কেন কাছে ডাকে,কিল্লাই হাছে ডাহে
6921,Why do I die,কেন মরে যাই,কিল্লাই মরি যাই
6922,There will be rain on a monsoon night,শ্রাবণ রাতের বৃষ্টি হবে,শ্রাবণ রাইতের বৃষ্টি অইব্যু
6923,The promise of keeping eyes on eyes,চোখে চোখ রাখার কথা,চুখত চুখ রাখিবার হথা
6924,On which tree is the bakul flower,বকুল কোন গাছে,বকুল হোন গাছত
6925,"Even being close, how far you are",কাছে থেকে ও তুমি কতদূর,হাছে তুন ও তুই হদ্দুর
6926,I die of thirst,আমি মরে যাই তৃষ্ণায়,অ্যাঁই মরি যাই তিরাইষ্যাত
6927,We get wet in the rain today,আমরা ভিজি আজকে বৃষ্টিতে,অ্যাঁরা ভিজি আজিয়ে বৃষ্টিত
6928,Go running,তুই দৌড় দিয়ে যা,তুঁই দোর দি যা
6929,I will live in a mud house,আমি মাটির ঘরে থাকবো,অ্যাঁই মেডির ঘরত থাইক্কুম
6930,Rain in my eyes,আমার চোখে বৃষ্টি,অ্যাঁর চুখত বৃষ্টি
6931,You'll have a house above the clouds,তোর হবে মেঘের উপরে বাড়ি,তুঁর অইব্যু মেঘর উদ্দি বাড়ি
6932,There's a lot of pain in my heart,আমার মনে অনেক কষ্ট,অ্যাঁর মনত বহুত কষ্ট
6933,Your two eyes are dark,দুইটা চোখে করে কালো তোর,দুইয়্যান চুখত গরে হালা তুঁর
6934,Their house is above the clouds,তাদের মেঘের উপরে ঘর,ইতারার মেঘর উদ্দি ঘর
6935,"You, above the clouds",মেঘের উপরে তুমি,মেঘর উদ্দি তুই
6936,Keeps happiness and sorrow above,সুখ দুঃখ উপরে রাখে,সুখ দুক উদ্দি রাহে
6937,He doesn't have a house above the clouds,তার মেঘের উপরে ঘর নেই,ইতার মেঘর উদ্দি ঘর নাই
6938,You've left your heart behind,তুই ফেলে এসেছিস মন,তুঁই ফেলায় আইচ্চুস মন
6939,That's why my heart doesn't find peace,মন আমার তাই শান্তি পায় না মন,মন অ্যাঁর তাই শান্তি ন পায় মন
6940,Left after giving it,দিয়ে চলে এসেছে,দি চলি আইসসে
6941,Why has he forgotten now,এখন ভুলে গেছে কেন,এহন ভুলে গেইয়্যে কিল্লাই
6942,How will you go now,কেমন করে যাবি এখন,ক্যান গরে যাবি এহন
6943,I stay in the river water,নদীর পানিতে থাকি,নদীর পানিত থাহি
6944,I don't stay listening,কান দিয়ে থাকি না,হান দি ন থাহি
6945,It seems you will find it,মনে হয় যে পাবে খুঁজে,মনত অয় যে ফাইবে তোঁয়াইন
6946,"If I understand the language, I'll speak",ভাষা যদি বুঝি আমি বলবো,ভাষা যদি বুজি অ্যাঁই হইয়্যুম
6947,I know she went after everyone,আমি জানি যে গেছে সবার পরে,অ্যাঁই জানি যে গেইয়্যে বেজ্ঞুনের ফরে
6948,"If you give your word, friend",যদি কথা দাও বন্ধু তুই,যদি হথা দ বন্ধু তুঁই
6949,Today I tell you a song,আমি তোমাকে গান বলি আজকে,অ্যাঁই তোঁয়ারে গান হই আজিয়ে
6950,The song that makes the heart feel good,যে গানে মন ভাল হয়,যে গানত মন গম অয়
6951,If my song makes your heart feel good,আমার গানে যদি তোমার মন ভাল হয়,অ্যাঁর গানত যদি তোঁয়ার মন গম অয়
6952,If my song brings peace to everyone's heart,আমার গানে যদি সবার মনে শান্তি হয়,অ্যাঁর গানত যদি বেজ্ঞুনের মনত শান্তি অয়
6953,Then I sing my song,তাহলে আমার গান গাই,তঁইলে অ্যাঁর গান গাঁই
6954,It has come in handy after a long time,অনেক দিন পরে কাজে এসেছে,বহুত দিন ফরে কামে আইসসে
6955,Where will a tune take you,একটা সুর তোকে কোথায় নিয়ে যাবে,উজ্ঞো সুর তোঁরে হডে লইয়্যে যাইব্যু
6956,"Many tunes, taking you",অনেক সুর তোকে নিয়ে,বহুত সুর তোঁরে লইয়্যে
6957,You'll become just like me,তুই তো আমার মত হয়ে যাবি,তুঁই তো অ্যাঁর নান অই যাবি
6958,Some sunshine with him,তার সাথে কিছু রোদ,ইতার লগে কিসু রোদ
6959,Now some words will cause anger,এখন কিছু কিছু কথা বলে রাগ হবে,এহন কিসু কিসু হথা কইয়্যরে গুসসা অইব্যু
6960,"If poetry's words stay at home, then",যদি ঘরে থাকে কবিতার কথা তাহলে,যদি ঘরত থাহে কবিতার হথা তঁইলে
6961,I find something else,খুঁজে পাই অন্য কোন কিছু,তোঁয়াইন ফাই অন্য হোন কিসু
6962,That song isn't for me,সে গান আমার জন্য না,ইতে গান অ্যাঁর লাই ন
6963,Do you have a tune with you,সুর কি তোর আছে কাছে,সুর আছে তুঁর হাছে হাছে
6964,They can take you away,তোমাকে নিয়ে যেতে পারে তারা,তোঁয়ারে লইয়্যে যাইতাম ফারে ইতারা
6965,I'll have to go very far,অনেক দূরে যেতে হবে,বহুত দূরে যাইতাম অইব্যু
6966,How can a song become your friend,একটা গান কিভাবে বন্ধু হবে তোর,উজ্ঞো গান কেনে বন্ধু অইব্যু তুঁর
6967,Will see you in the evening,তোর সাথে দেখবে সন্ধ্যায়,তুঁর লগে চ্যাঁইবে আজুইন্নে
6968,And when I grow older,আর যখন বয়স বাড়াবো,আর যহন বয়স বাড়াইয়্যুম
6969,Holding onto my son,আমার ছেলে ধরে রেখে,অ্যাঁর ফোয়া ধরি রাহি
6970,I sing all the time,আমি গান করি সব সময়,অ্যাঁই গান গরি হক্কল সমত
6971,The boy is in no hurry to go home,ছেলের নেই বাড়ি যাওয়ার দেরি,ফোয়ার নাই বাড়ি যনঅর দেরি
6972,The girl has no telephone at home,মেয়ের নেই বাড়িতে টেলিফোন,মাইয়্যার নাই বাড়িত টেলিফোন
6973,There's no age for following rules,নেই নিয়ম মানা বয়স,নাই নিয়ম মানা বয়স
6974,He has a mind for breaking rules,তার আছে নিয়ম ভাঙ্গার মন,ইতার আছে নিয়ম ভাঙ্গার মন
6975,The boy has a letter,ছেলের আছে চিঠি,ফোয়ার আছে চিডি
6976,The spelling of love will be wrong,প্রেমের বানান ভুল হবে,ফিরিতওর বানান ভুল অইব্যু
